,action,reward,self.observation,self.state
209,12.0,1.4479980503255212,[  7.14 -54.87 103.   103.  ],"[0.3134, 0.27, 0.23, 0.22]"
210,0.0,1.5989717144268774,[ -1.34 -66.37  84.    55.  ],"[0.32, 0.25, 0.22, 0.23]"
211,53.0,0.41450594713887323,[ 18.62  33.27 191.    97.  ],"[0.21, 0.2, 0.3785, 0.2545]"
212,20.0,1.4785585026462809,[ 22.85  18.45 280.   126.  ],"[0.27, 0.23, 0.3412, 0.3337]"
213,0.0,1.6313988095238097,[ 24.63   2.71  21.   172.  ],"[0.27, 0.24, 0.25, 0.28]"
214,0.0,1.4873306041784302,[ 23.74 -13.19   0.   117.  ],"[0.23, 0.21, 0.22, 0.23]"
215,0.0,1.4751552795031058,[ 20.3  -28.39   0.   112.  ],"[0.23, 0.21, 0.21, 0.23]"
216,0.0,1.452922077922078,[ 14.69 -42.37   0.    91.  ],"[0.22, 0.21, 0.21, 0.22]"
217,1.0,1.3780679747627207,[  7.39 -55.03   0.    60.  ],"[0.3502, 0.2, 0.2, 0.2]"
218,33.0,1.1334325396825395,[23.14 18.54  0.   84.  ],"[0.21, 0.2, 0.2, 0.21]"
219,20.0,1.1398809523809523,[ 24.93   2.74   0.   109.  ],"[0.2, 0.2, 0.2, 0.2]"
220,0.0,1.5198863636363638,[ 24.04 -13.23   0.   119.  ],"[0.24, 0.22, 0.22, 0.24]"
221,1.0,1.3464791549030681,[ 20.59 -28.48   0.   113.  ],"[0.23, 0.21, 0.21, 0.22]"
222,0.0,1.4640386787125919,[ 14.96 -42.5    0.    93.  ],"[0.23, 0.21, 0.21, 0.22]"
223,0.0,1.4017857142857142,[  7.65 -55.19   0.    60.  ],"[0.21, 0.2, 0.2, 0.21]"
224,21.0,0.5157424812030074,[19.17 33.55  3.   84.  ],"[0.19, 0.19, 0.3597, 0.2006]"
225,0.0,1.5766098484848485,[ 23.43  18.64  12.   140.  ],"[0.25, 0.22, 0.24, 0.27]"
226,0.0,1.4751552795031058,[ 25.23   2.77   0.   111.  ],"[0.23, 0.21, 0.21, 0.23]"
227,0.0,1.6840037214644954,[ 24.34 -13.26   0.   121.  ],"[0.3564, 0.3346, 0.22, 0.24]"
228,1.0,1.605442038952977,[ 20.88 -28.58  23.   186.  ],"[0.3595, 0.3524, 0.23, 0.26]"
229,2.0,1.5379052876887607,[ 15.24 -42.64  13.   156.  ],"[0.3461, 0.3544, 0.22, 0.24]"
230,4.0,1.3905694740582801,[  7.92 -55.36   6.   104.  ],"[0.3216, 0.21, 0.2, 0.21]"
231,0.0,1.4017857142857142,[ -0.6  -66.92  12.    53.  ],"[0.21, 0.2, 0.2, 0.21]"
232,12.0,0.22787074806641383,[13.15 47.31 63.   40.  ],"[0.2, 0.2, 0.2, 0.3651]"
233,53.0,0.13194498243983072,[ 19.45  33.69 158.    99.  ],"[0.2, 0.2, 0.4149, 0.2604]"
234,60.0,1.370997416030677,[ 23.73  18.72 416.   132.  ],"[0.26, 0.22, 0.3433, 0.3404]"
235,40.0,1.3836497872663553,[ 25.54   2.79 307.   169.  ],"[0.25, 0.22, 0.3354, 0.3381]"
236,40.0,1.3548037816291778,[ 24.65 -13.31 134.   214.  ],"[0.3187, 0.3177, 0.22, 0.24]"
237,54.0,1.1156317164278775,[ 21.18 -28.68 146.   200.  ],"[0.3543, 0.2194, 0.2, 0.22]"
238,0.0,1.7740275634238918,[ 15.52 -42.78  31.   152.  ],"[0.3551, 0.3577, 0.26, 0.29]"
239,8.0,1.329784893865937,[  8.18 -55.53   7.   107.  ],"[0.3202, 0.2, 0.2, 0.2]"
